#,Timestamp,Hostname,CLD,VAD,LSD,SDI,SPD,ELD,lch_size,zlib_size,zlib_time,lzma_size,lzma_time,bz2_size,bz2_time,gzip_size,gzip_time,cfe_size,commits
20,1679950828,centos,19689,687262,263,10609,34,77750,40677,7645,0.0012941799996042,7060,0.0598722619997715,7600,0.004858136000621,7663,0.0010960830004478,144912,3
20,1679950828,debian,19582,501498,263,11296,34,79627,44896,8149,0.0013092270000925,7480,0.0607040079994476,8011,0.0052070600013394,8167,0.0012348370000836,146842,4
19,1679950828,rhel,19915,722205,263,14920,34,89705,40,39,0.0001815409996197,88,0.0488922099993942,66,8.729499859327916e-05,57,0.0001053109990607,23,3
20,1679950828,ubuntu,21948,1499684,263,20931,34,80731,336419,29231,0.0104895420008688,22792,0.1164760999999998,18599,0.0611976040017907,29249,0.0102298500005417,484164,3
20,1679951729,hub,22306,1533215,1125,20935,34,187947,56972,8818,0.0073854929996741,8148,0.0666052039996429,8424,0.0066652479999902,8836,0.0015165080003498,159967,3
21,1679951729,centos,19756,688412,263,10609,34,77292,43982,7736,0.0013309030000527,7156,0.0629236250006215,7605,0.0051330030000826,7754,0.001186333998703,140628,3
21,1679951729,debian,19774,500352,263,11296,34,79308,39164,7005,0.0012188860000605,6520,0.0592864919999556,7031,0.0046196519997465,7023,0.0010627970004861,138633,2
20,1679951729,rhel,19915,722205,263,14920,34,89705,40,40,0.0001004160003503,88,0.0484419999993406,64,8.597200030635577e-05,58,0.0001023250006255,23,3
21,1679951729,ubuntu,21352,1498030,263,20931,34,79004,47236,7972,0.0013803450001432,7320,0.0608014480003475,7792,0.0055383239996444,7990,0.0012613050002983,137975,3
21,1679952629,hub,21888,1519861,1125,20935,34,188167,45029,8193,0.0013314900006662,7540,0.060131835998618,8173,0.0051402569988567,8211,0.0011648710005829,148554,4
22,1679952629,centos,19824,688756,263,10609,34,79249,44968,7744,0.001300894000451,7200,0.0604526819988677,7628,0.0052296909998403,7762,0.0011815369998657,145381,3
22,1679952629,debian,19453,501057,263,11296,34,79281,41087,7296,0.0012385200006974,6808,0.0598232760003156,7338,0.0048057820004032,7314,0.001107731999582,146309,3
21,1679952629,rhel,19915,722205,263,14920,34,89705,40,40,0.0001402470006723,88,0.048923927000942,65,8.823400094115641e-05,58,6.545699943671934e-05,23,3
22,1679952629,ubuntu,21203,1492760,263,20931,34,78445,39324,6845,0.0010710139995353,6368,0.0591504679996433,6841,0.0046681919993716,6863,0.0010470769993844,123833,3
22,1679953529,hub,22217,1525998,1125,20935,34,188091,42758,7407,0.0011757869997381,6904,0.0596866120013146,7471,0.0049950470001931,7425,0.0010767120002128,140048,2
23,1679953529,centos,19787,691185,263,10609,34,78052,48209,8215,0.0014375440005096,7572,0.0607818640000914,7990,0.005557475000387,8233,0.0013370400010899,140973,3
23,1679953529,debian,19436,504105,263,11296,34,80060,45926,7785,0.0013105629986966,7208,0.0602372779994766,7658,0.0053344709995144,7803,0.0011984339998889,160167,3
22,1679953529,rhel,19915,722205,263,14920,34,89705,40,39,8.360299943888094e-05,88,0.048506464001548,65,8.789300045464188e-05,57,0.0001050589999067,23,3
23,1679953529,ubuntu,21286,1494407,263,20931,34,78280,37707,6818,0.001063146000888,6336,0.0587814329992397,6808,0.0045433760005835,6836,0.0009419899997737,123648,3
23,1679954428,hub,22179,1520328,1125,20935,34,189066,47157,8956,0.0013442469989968,8292,0.0611485469999024,8987,0.0054523260005225,8974,0.0012562949996208,135472,3
24,1679954429,centos,19840,688817,263,10609,34,79576,48224,8472,0.0014140799994493,7828,0.0613157789994147,8321,0.0055597850005142,8490,0.0013284870001371,145862,3
24,1679954429,debian,19649,498632,263,11296,34,81335,40909,7518,0.0012250039999344,6980,0.0592463020002469,7593,0.0048487879994354,7536,0.001051601000654,136560,3
23,1679954429,rhel,19915,722205,263,14920,34,89705,40,38,7.7231999966898e-05,88,0.0507578490014566,64,0.0001040829993144,56,6.758199924661312e-05,23,3
24,1679954429,ubuntu,21822,1500538,263,20931,34,79057,42967,7310,0.0011114629996882,6788,0.0607571299988194,7274,0.0052551339995261,7328,0.0010458639990247,158670,3
24,1679955328,hub,22078,1523735,1125,20935,34,187922,41230,7761,0.0012457570010155,7212,0.0603623509996396,7810,0.0049056970001402,7779,0.0011888170010934,141847,3
25,1679955328,centos,19728,688551,263,10609,34,78266,45965,8142,0.0013543099994421,7484,0.0623996699996496,7985,0.0053328220001276,8160,0.0012305510008445,138314,3
25,1679955328,debian,19510,506925,263,11296,34,79519,45986,7871,0.0013637909996759,7264,0.0613797780006279,7668,0.0053516320003836,7889,0.0012197409996588,138211,3
24,1679955328,rhel,19915,722205,263,14920,34,89705,40,40,0.0001397969990648,88,0.0488525570017372,64,8.489299943903461e-05,58,0.0001092050006263,23,3
25,1679955328,ubuntu,21388,1497962,263,20931,34,78707,45858,7562,0.0013414019995252,6968,0.0599077460010448,7437,0.0052906239998264,7580,0.0011955330010096,136743,3
25,1679956228,hub,21815,1523788,1125,20935,34,190036,51611,9008,0.0015066969990584,8280,0.0619971539999824,8948,0.0058811939998122,9026,0.0013127389993314,151538,3
26,1679956228,centos,19650,684269,263,10609,34,77506,39265,7320,0.0011287300003459,6776,0.0591046610006742,7344,0.0046319930006575,7338,0.001049762000548,135067,3
26,1679956228,debian,19593,505329,263,11296,34,81727,49577,8353,0.0014989850005804,7680,0.0625661680005578,8146,0.0057462129989289,8371,0.0013399929994193,203413,4
25,1679956228,rhel,19915,722205,263,14920,34,89705,40,39,9.516699901723769e-05,88,0.0489119620015117,64,8.305000119435135e-05,57,0.0001043709999066,23,3
